name,aliases,country,province,lat,lon,Route,URL
Little Bald Brook,Cape Chignecto Ice|Nova Scotia|North America|International,Canada,Nova Scotia,45.33516,-64.94075,Milita'w,https://www.mountainproject.com/route/118641027/militaw
The Chains Area Ice,Cape Chignecto Ice|Nova Scotia|North America|International,Canada,Nova Scotia,45.34503,-64.88176,Boxing Day Bash,https://www.mountainproject.com/route/116350618/boxing-day-bash
Mainstreet Area.,The DR Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.44976,-64.41874,Swipe Left,https://www.mountainproject.com/route/120015376/swipe-left
Cap d'Or,Nova Scotia|North America|International,Canada,Nova Scotia,45.30345,-64.78354,Keep on Blowing,https://www.mountainproject.com/route/118273205/keep-on-blowing
Parc de la falaise,"Kabir Kouba|03. Quebec Ice|*Quebec Ice, Mixed & Alpine|Quebec|North America|International",Canada,Quebec,46.85515,-71.35402,Name unknown (8),https://www.mountainproject.com/route/121859113/name-unknown-8
Cap d'Or,Nova Scotia|North America|International,Canada,Nova Scotia,45.30345,-64.78354,Choss Factory,https://www.mountainproject.com/route/118271665/choss-factory
The River Wall,Joggins|Nova Scotia|North America|International,Canada,Nova Scotia,45.68499,-64.45228,Revelator,https://www.mountainproject.com/route/121908315/revelator
Twin Falls Gorge Territorial Park (Ice),Northwest Territories|North America|International,Canada,Northwest Territories,60.50132,-116.25907,Curtain Call,https://www.mountainproject.com/route/122105364/curtain-call
Twin Falls Gorge Territorial Park (Ice),Northwest Territories|North America|International,Canada,Northwest Territories,60.50132,-116.25907,Whiteout,https://www.mountainproject.com/route/122219136/whiteout
Upper Pools West Bank,Folly River Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.49687,-63.52784,Swimming Lessons,https://www.mountainproject.com/route/120015997/swimming-lessons
"1. South End, Parallax - Mellow Yellow Area","Orient Bay Ice and Mixed|LAKE SUPERIOR W: Marathon to Thunder Bay, includes Kama and Orient Bay|Ontario Ice and Mixed|Ontario|North America|International",Canada,Ontario,49.24021,-88.16902,Passage at Sundown,https://www.mountainproject.com/route/122039214/passage-at-sundown
Copper River FSR Ice,Highway 16 Ice|Northern BC|British Columbia|North America|International,Canada,British Columbia,54.52508,-128.41343,CRFSR- 2.91 km AKA Cauliflower,https://www.mountainproject.com/route/118342135/crfsr-291-km-aka-cauliflower
Tolkien Area,The DR Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.44888,-64.4188,Ramble On (variations),https://www.mountainproject.com/route/120015762/ramble-on-variations
Fownes Head East Ice,Fownes Head Ice|New Brunswick|North America|International,Canada,New Brunswick,45.39298,-65.45264,Clear Cut,https://www.mountainproject.com/route/116746253/clear-cut
Upper Pools East Bank,Folly River Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.49695,-63.52773,Bailout,https://www.mountainproject.com/route/120052989/bailout
The River Wall,Joggins|Nova Scotia|North America|International,Canada,Nova Scotia,45.68499,-64.45228,Matecito,https://www.mountainproject.com/route/121908341/matecito
Upper Gorge,The DR Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.45001,-64.4184,Pulsar,https://www.mountainproject.com/route/121968350/pulsar
Cozy Warm Area Ice,Cape Chignecto Ice|Nova Scotia|North America|International,Canada,Nova Scotia,45.3448,-64.8839,Cozy Warm,https://www.mountainproject.com/route/116351597/cozy-warm
Mont Maribou,"15. Laurentians Ice|*Quebec Ice, Mixed & Alpine|Quebec|North America|International",Canada,Quebec,45.91336,-74.18461,Diedre principal,https://www.mountainproject.com/route/113830006/diedre-principal
East Branch of Folly River,Folly River Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.50335,-63.52137,It's Hard to Get Lost in Nova Scotia,https://www.mountainproject.com/route/120052885/its-hard-to-get-lost-in-nova-scotia
East Branch of Folly River,Folly River Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.50335,-63.52137,Power Line,https://www.mountainproject.com/route/120052890/power-line
Mazukama Falls (aka Powerline Falls),"Kama Bay, Lake Superior, Ice and Mixed|LAKE SUPERIOR W: Marathon to Thunder Bay, includes Kama and Orient Bay|Ontario Ice and Mixed|Ontario|North America|International",Canada,Ontario,49.01213,-88.0068,Right Falls,https://www.mountainproject.com/route/118221058/right-falls
Twin Falls Gorge Territorial Park (Ice),Northwest Territories|North America|International,Canada,Northwest Territories,60.50132,-116.25907,Under the Bridge,https://www.mountainproject.com/route/122105034/under-the-bridge
Fownes Head East Ice,Fownes Head Ice|New Brunswick|North America|International,Canada,New Brunswick,45.39298,-65.45264,Charge the People,https://www.mountainproject.com/route/116746188/charge-the-people
Tolkien Area,The DR Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.44888,-64.4188,Orthanc,https://www.mountainproject.com/route/120015602/orthanc
LSR South,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.48931,-65.29139,Castor Canadensis,https://www.mountainproject.com/route/116229720/castor-canadensis
Fownes Head East Ice,Fownes Head Ice|New Brunswick|North America|International,Canada,New Brunswick,45.39298,-65.45264,Step Ladder Left,https://www.mountainproject.com/route/116742432/step-ladder-left
The River Wall,Joggins|Nova Scotia|North America|International,Canada,Nova Scotia,45.68499,-64.45228,Nini in the Nini,https://www.mountainproject.com/route/121908378/nini-in-the-nini
Fownes Head East Ice,Fownes Head Ice|New Brunswick|North America|International,Canada,New Brunswick,45.39298,-65.45264,Fishing Expedition,https://www.mountainproject.com/route/116718660/fishing-expedition
Twin Falls Gorge Territorial Park (Ice),Northwest Territories|North America|International,Canada,Northwest Territories,60.50132,-116.25907,Lil' Blue,https://www.mountainproject.com/route/122187656/lil-blue
